失之毫厘，谬以千里	evtl
一波未平，一波又起	ffoi
一不做，二不休	fmll
一而再，再而三	frpd
一言既出，驷马难追	fure
一人得道，鸡犬升天	fuyf
星星之火，可以燎原	hhvc
项庄舞剑，意在沛公	hkgn
近朱者赤，近墨者黑	hnui
明修栈道，暗度陈仓	hosu
庆父不死，鲁难未已	kims
仁者见仁，智者见智	luwr
不入虎穴，焉得虎子	mgan
不经一事，不长一智	mqfr
差以毫厘，失之千里	natl
靠山吃山，靠水吃水	nnkx
刀子嘴，豆腐心	onkq
成事不足，败事有余	pimu
成也萧何，败也萧何	pjml
丁是丁，卯是卯	qsqx
放下屠刀，立地成佛	rfxl
百花齐放，百家争鸣	rmik
百尺竿头，更进一步	rxrq
千里之行，始于足下	slvf
千里之堤，溃于蚁穴	slvt
头痛医头，脚痛医脚	tayx
种瓜得瓜，种豆得豆	tbyi
人为刀俎，我为鱼肉	uiow
冰冻三尺，非一日之寒	uuds
螳螂捕蝉，黄雀在后	uujb
皮之不存，毛将焉附	uvmp
人同此心，心同此理	uwqb
司马昭之心，路人皆知	vehr
同声相应，同气相求	wiqc
万事俱备，只欠东风	xila
彼一时，此一时	yfhh
十目所视，十手所指	ytbj
鹬蚌相争，渔人得利	yuqt
以眼还眼，以牙还牙	atmo
干打雷，不下雨	bjuk
城门失火，殃及池鱼	deeo
三天打鱼，两天晒网	dfjw
